Kategori,Sub-Kategori,Fitur/Fungsi,Deskripsi,Teknologi/Implementasi,Status
Monitoring Real-Time,Dashboard,Panel Monitoring Cards,"Menampilkan semua device dalam bentuk kartu dengan informasi voltage, current, power, energy",ASP.NET Core MVC + Chart.js,Active
Monitoring Real-Time,Dashboard,Real-Time Statistics,"Total daya, total energy, jumlah panel aktif, average power factor",EF Core Aggregation,Active
Monitoring Real-Time,Dashboard,Status Indicators,"Status HIGH (>20kW), MEDIUM (10-20kW), NORMAL (<10kW) dengan warna",Bootstrap 5 Badges,Active
Monitoring Real-Time,Dashboard,Phase Type Badges,"Badge 1-Phase (warning) dan 3-Phase (info)",Bootstrap 5,Active
Monitoring Real-Time,Dashboard,Load Progress Bar,"Progress bar persentase beban terhadap max capacity",Bootstrap 5 Progress,Active
Monitoring Real-Time,Grafik,Real-Time Voltage Chart,"Grafik voltage R/S/T dengan 20 data points terakhir",Chart.js Line Chart,Active
Monitoring Real-Time,Grafik,Real-Time Current Chart,"Grafik current R/S/T dengan 20 data points terakhir",Chart.js Line Chart,Active
Monitoring Real-Time,Grafik,Real-Time Power Chart,"Grafik power (Watt) dengan 20 data points terakhir",Chart.js Line Chart,Active
Monitoring Real-Time,Grafik,Multi-Chart View,"Halaman Charts menampilkan semua grafik semua device",Chart.js Multi-instance,Active
Monitoring Real-Time,Filter,Pencarian Device,"Filter berdasarkan groupName, deviceKey, deviceId",LINQ Where + Contains,Active
Monitoring Real-Time,Filter,Filter Status,"Filter status HIGH/MEDIUM/NORMAL/ALL",LINQ Conditional Filter,Active
Monitoring Real-Time,Filter,Filter Phase,"Filter 1-Phase/3-Phase/ALL",LINQ Conditional Filter,Active
Monitoring Real-Time,Detail,Device Details Page,"Halaman detail单个 device dengan informasi lengkap",MVC View + Model,Active
Monitoring Real-Time,Detail,Data History,"Tabel history data dengan pagination (10 records/halaman)",EF Core Pagination,Active
Monitoring Real-Time,Detail,Export CSV,"Export data monitoring ke format CSV (max 50k records)",StringBuilder + File Result,Active
Monitoring Real-Time,Auto-Refresh,Dashboard Refresh,"Auto-refresh data setiap interval yang ditentukan (default 10s)",JavaScript setInterval,Active
Monitoring Real-Time,Auto-Refresh,Chart Update,"Update chart dengan data baru secara real-time",Chart.js update + push,Active
Manajemen Device,Registry,Device Registration,"Registrasi otomatis device MQTT yang pertama kali terhubung",MqttService Auto-Register,Active
Manajemen Device,Registry,Device Tracking,"Tracking firstSeen, lastSeen, isActive, messageCount",DeviceRegistry Table,Active
Manajemen Device,Registry,Device Categorization,"Kategorisasi device (Billboard, Videotron, dll) via AppSettings",AppSettingsCache,Active
Manajemen Device,Control,Relay ON/OFF,"Kontrol relay device via MQTT publish",MQTTnet Publish,Active
Manajemen Device,Control,OTP for OFF,"OTP (One-Time Password) untuk keamanan tombol OFF",Random Token + Email,Active
Manajemen Device,Control,Rate Limiting,"Rate limiting 10 request/60 detik per user untuk relay control",MemoryCache Sliding Window,Active
Manajemen Device,Control,Security Audit,"Log semua aksi relay control ke SecurityAuditLogs",EF Core SaveAsync,Active
Manajemen Device,MQTT,Topic Publishing,"Publish ke topic data/KWHAPP/{deviceId}/12345678",MQTTnet Topic Builder,Active
Manajemen Device,MQTT,Payload JSON,"Build payload JSON dengan _terminalTime, _groupName, RC",Newtonsoft.Json,Active
Manajemen Device,MQTT,QoS Configuration,"Quality of Service level 1 (At Least Once)",MQTTnet QoS,Active
Manajemen Device,MQTT,Connection Management,"Auto-connect dengan validasi settings dan dispose lama",SemaphoreSlim Lock,Active
Manajemen Device,MQTT,TLS Support,"Support TLS/SSL dengan certificate validation",X509Certificate2,Active
Manajemen Device,MQTT,Certificate Loading,"Load CA cert dan client cert dari folder AppData/MqttCerts",File.ReadAllBytes,Active
Manajemen Device,MQTT,Certificate Validation,"Validate server certificate against CA cert",X509Chain Build,Active
Anomaly Detection,EMA Analysis,Exponential Moving Average,"Perhitungan EMA dengan period yang dapat dikonfigurasi",Custom EMA Algorithm,Active
Anomaly Detection,EMA Analysis,Manual Threshold Mode,"Threshold manual: ±30% (upper/lower)",Configurable Percentage,Active
Anomaly Detection,EMA Analysis,Fibonacci Threshold Mode,"Threshold Fibonacci: ×0.618/1.618 dari EMA",Fibonacci Multipliers,Active
Anomaly Detection,Deteksi,OVERLOAD Detection,"Deteksi daya > upper threshold",EMA + Threshold Comparison,Active
Anomaly Detection,Deteksi,DROP Detection,"Deteksi daya < lower threshold",EMA + Threshold Comparison,Active
Anomaly Detection,Deteksi,DEVICE_DROP Detection,"Deteksi device offline/tidak mengirim data",Timeout Detection,Active
Anomaly Detection,Deteksi,Downtime Detection,"Deteksi otomatis periode jam mati (22:00-06:00)",Time-based Detection,Active
Anomaly Detection,Severity,Severity Classification,"Klasifikasi: Low (<10%), Medium (10-30%), High (30-50%), Critical (>50%)",Deviation-based Severity,Active
Anomaly Detection,Severity,Repeated Pattern Detection,"Deteksi anomali berulang ≥3 kali dalam 24 jam",LINQ Count + Time Window,Active
Anomaly Detection,Severity,Severity Upgrade,"Upgrade severity ke critical jika repeated pattern",AnomalyAnalysisService,Active
Anomaly Detection,Cooldown,Cooldown Period,"Cooldown 5 menit setelah anomali untuk mencegah spam",DateTime Cooldown Check,Active
Anomaly Detection,Cooldown,Type Transition Reset,"Reset counter saat tipe anomali berpindah (DROP↔OVERLOAD)",Opposite Type Detection,Active
Anomaly Detection,Deduplication,Server Deduplication,"Cegah duplikasi anomali dalam 5 menit dari server lain",DeviceKey + Type + Power Key,Active
Anomaly Detection,Logging,AnomalyLog Storage,"Simpan anomali ke database dengan detail lengkap",AnomalyLog Entity,Active
Anomaly Detection,Logging,Chart Snapshot,"Simpan snapshot grafik saat anomali terdeteksi",AnomalyChartSnapshot JSON,Active
Anomaly Detection,Logging,Root Cause Analysis,"Analisis penyebab anomali (downtime, beban berlebih, offline)",AnomalyAnalysisService,Active
Anomaly Detection,Logging,Recommended Action,"Rekomendasi tindakan berdasarkan severity dan type",AnomalyAnalysisService,Active
Anomaly Detection,Operator Actions,Acknowledge Anomaly,"Operator dapat acknowledge anomali aktif",AnomalyLog.Acknowledged,Active
